Gender,Score,Selected
Male,70,1
Male,71,1
Male,72,1
Male,73,1
Male,74,1
Male,75,1
Male,76,1
Male,77,1
Male,78,1
Male,79,1
Male,80,1
Male,81,1
Male,82,1
Male,83,1
Male,84,1
Male,85,1
Male,86,1
Male,87,1
Male,88,1
Male,89,1
Male,90,1
Male,91,1
Male,92,1
Male,93,1
Male,94,1
Male,95,1
Male,96,1
Male,97,1
Male,98,1
Male,99,1
Male,70,1
Male,71,1
Male,72,1
Male,73,1
Male,74,1
Male,75,1
Male,76,1
Male,77,1
Male,78,1
Male,79,1
Male,80,1
Male,81,1
Male,82,1
Male,83,1
Male,84,1
Male,85,1
Male,86,1
Male,87,1
Male,88,1
Male,89,1
Female,70,0
Female,71,0
Female,72,0
Female,73,0
Female,74,0
Female,75,0
Female,76,0
Female,77,0
Female,78,0
Female,79,0
Female,80,0
Female,81,0
Female,82,0
Female,83,0
Female,84,0
Female,85,0
Female,86,0
Female,87,0
Female,88,0
Female,89,0
Female,90,0
Female,91,0
Female,92,0
Female,93,0
Female,94,0
Female,95,0
Female,96,0
Female,97,0
Female,98,0
Female,99,0
Female,70,0
Female,71,0
Female,72,0
Female,73,0
Female,74,0
Female,75,0
Female,76,0
Female,77,0
Female,78,0
Female,79,0
Female,80,0
Female,81,0
Female,82,0
Female,83,0
Female,84,0
Female,85,0
Female,86,0
Female,87,0
Female,88,0
Female,89,0
